detected_at,source,headline,url,frame_stance,forum_terms_used,competing_terms_used,audience_tier,note
2026-03-09 10:15,Eco-Business,"ASEAN ag ministers debate protein framing ahead of Bali summit",https://example.com/ft-1,neutral,,,policy,"Balanced framing with no strong lean either way."
2026-03-10 14:30,Nikkei Asia,"Asian family offices double down on climate-smart protein bets",https://example.com/ft-2,competing,,climate-smart protein,investor,"Explicitly positions alt-protein as the transition pathway."
2026-03-12 09:45,Reuters,"Singapore leans into alternative proteins as food security anchor",https://example.com/ft-3,competing,,alternative proteins as the protein transition,policy,"State-backed framing of alt-protein as the protein transition."
2026-03-13 11:00,AgFunder News,"Mekong cooperative secures first tranche of agroecology finance",https://example.com/ft-4,adoption,agroecology;smallholder-centred,,investor,"Clean adoption-stance piece using Forum vocabulary."
2026-03-15 16:20,Channel News Asia,"Vietnam coffee sector weighs certification options",https://example.com/ft-5,neutral,,,business,"Certification-focused; no systemic framing."
2026-03-16 08:30,Straits Times,"Regional banks study agriculture portfolio risk",https://example.com/ft-6,neutral,,,investor,"Risk-framed with no transition stance."
2026-03-17 13:15,Eco-Business,"FAIRR flags transition lock-in at SEA poultry producers",https://example.com/ft-7,adoption,transition lock-in,,investor,"Direct use of Forum-aligned critique framing."
2026-03-18 15:45,Nikkei Asia,"Precision agriculture investment surges across ASEAN",https://example.com/ft-8,competing,,precision agriculture,business,"Tech-as-solution framing that sidelines farming-systems change."
2026-03-20 10:30,FoodNavigator Asia,"Indonesian cooperative federation gains formal recognition",https://example.com/ft-9,adoption,smallholder equity;systems change,,policy,"Policy shift framed explicitly in systems terms."
2026-03-22 14:00,AgFunder News,"Thai agri-sector VC activity hits fresh high",https://example.com/ft-10,neutral,,,investor,"Volume-focused and stance-neutral."
2026-03-23 09:00,Reuters,"Cultivated meat firms eye Southeast Asian scale-up",https://example.com/ft-11,competing,,alternative proteins as the protein transition,business,"Positions cultivated meat as the transition lever."
2026-03-24 11:45,Eco-Business,"Indonesian palm smallholders chart agroecological path",https://example.com/ft-12,adoption,agroecology;smallholder-centred;just and regenerative,,media,"Piece leans on full Forum vocabulary."
2026-03-25 15:30,Channel News Asia,"Singapore food security doctrine explained",https://example.com/ft-13,neutral,,,policy,"Neutral explainer with no stance."
2026-03-27 10:15,Nikkei Asia,"APAC investors back alt-protein platforms in Q1",https://example.com/ft-14,competing,,climate-smart protein,investor,"Capital-momentum framing that is alt-protein-centric."
2026-03-29 13:00,AgFunder News,"ADB signals appetite for regenerative agriculture facilities",https://example.com/ft-15,adoption,just and regenerative;system finance,,investor,"DFI-level language shift toward Forum frame."
2026-03-30 08:45,Eco-Business,"Thai rice farmers press for direct-export legal path",https://example.com/ft-16,adoption,smallholder equity;smallholder-centred,,media,"Organising story framed around equity."
2026-04-01 14:00,Straits Times,"Singapore regulator green-lights second cultivated seafood product",https://example.com/ft-17,competing,,climate-smart protein,policy,"State endorsement frames cultivated protein as climate-smart."
2026-04-02 10:30,Reuters,"World Bank warns on compound climate risk to Asian food systems",https://example.com/ft-18,neutral,,,policy,"Risk-focused without a farming-systems prescription."
2026-04-04 11:15,FoodNavigator Asia,"Corporate SEA sourcing commitments: a mid-year stocktake",https://example.com/ft-19,adoption,smallholder-centred,,business,"Sourcing shift framed toward cooperative origin."
2026-04-05 09:00,AgFunder News,"Aquaspark flags agroecology-aligned deal pipeline",https://example.com/ft-20,adoption,agroecology;system finance,,investor,"Visionary-tier investor using Forum frame openly."
2026-04-06 10:45,Eco-Business,"Philippine agrarian reform gets $180m boost",https://example.com/ft-21,adoption,smallholder equity,,policy,"Structural equity shift adjacent to Forum frame."
2026-04-08 14:15,Nikkei Asia,"ASEAN regional trade talks: agriculture update",https://example.com/ft-22,neutral,,,policy,"Trade-procedural with no stance."
2026-04-09 11:30,AgFunder News,"AVPN brings 14 funders into agroecology collaborative",https://example.com/ft-23,adoption,agroecology;system finance;systems change,,investor,"Collective investor shift to Forum frame."
2026-04-10 09:00,Channel News Asia,"Singapore agri-tech scene: quarterly review",https://example.com/ft-24,neutral,,,business,"Industry roundup with no stance."
2026-04-11 15:00,Eco-Business,"Wilmar agroecology roadmap: what it does and does not say",https://example.com/ft-25,adoption,agroecology;transition lock-in,,investor,"Analysis piece naming transition lock-in risks."
2026-04-13 10:00,Straits Times,"DBS signals exit from industrial livestock exposure",https://example.com/ft-26,adoption,transition lock-in,,investor,"Capital-allocation shift read as implicit agroecology support."
2026-04-15 11:45,FoodNavigator Asia,"ASEAN ministers endorse agroecology as transition pathway",https://example.com/ft-27,adoption,agroecology;just and regenerative;systems change,,policy,"Headline-level regional adoption of Forum language."
2026-04-16 14:30,AgFunder News,"ADB launches $200m Mekong regenerative facility",https://example.com/ft-28,adoption,agroecology;system finance;smallholder-centred,,investor,"Major DFI action consolidating Forum thesis."
2026-04-18 09:15,Nikkei Asia,"Temasek adds to alt-protein holding portfolio",https://example.com/ft-29,neutral,,,investor,"Ambivalent coverage with no dominant frame."
2026-04-19 10:30,Eco-Business,"Vietnam opens agroecology framework to public consultation",https://example.com/ft-30,adoption,agroecology;smallholder-centred;systems change,,policy,"Government-level frame adoption."
