entity_name,entity_type,country,signal_date,signal_headline,signal_type,specific_language,source_document,practice_shift_score,relationship_status,suggested_outreach
"Asian Development Bank",DFI,"regional (Philippines-HQ)",2026-04-18,"ADB launches $200m Mekong regenerative facility",capital,"first dedicated agroecology vehicle in the region",https://example.com/adb-mekong-regen-facility,5,adjacent,"Request a briefing with the Mekong facility design team before the second-tranche design phase and offer Forum's system-finance frame as input."
Aquaspark,investor,Singapore,2026-04-17,"Aquaspark closes $280m Fund III with SEA aquaculture mandate",capital,"deliberate tilt toward smallholder-clustered supply models and away from vertically integrated industrial farms",https://example.com/aquaspark-fund-iii-close,4,Visionary,"Deepen existing Visionary relationship by co-hosting a peer session on cooperative-scale aquaculture investment."
AVPN,funder_network,Singapore,2026-04-08,"AVPN launches Asia Agroecology Funders Collaborative",cooperative,"move beyond project-by-project funding and toward system finance for cooperative and smallholder-centred infrastructure",https://example.com/avpn-agroecology-funders,4,Visionary,"Offer Forum as knowledge partner to the collaborative's first convening; propose a joint framing paper on smallholder-centred finance."
"FAIRR Initiative",investor_coalition,regional,2026-04-17,"FAIRR publishes 2026 Coller Protein Producer Index with SEA focus",capital,"prompt investor re-engagement on transition lock-in",https://example.com/fairr-coller-index-2026,4,Visionary,"Align on shared narrative ahead of FAIRR's next investor day; explore a co-authored SEA-specific transition lock-in note."
"DBS Bank",bank,Singapore,2026-04-11,"DBS signals reduced appetite for industrial livestock financing in SEA",capital,"reduce lending exposure to large-scale industrial livestock operations over the next 36 months",https://example.com/dbs-livestock-exposure-reduction,3,adjacent,"Request a meeting with the DBS sustainability team to brief on destination capital needed for cooperative-scale regenerative alternatives."
UOB,bank,Singapore,2026-04-14,"UOB launches cooperative-tier agricultural lending product",capital,"system finance available at a level where it has historically been scarce",https://example.com/uob-coop-agri-lending,3,adjacent,"Introduce the UOB product team to two Forum-network cooperatives currently evaluating lender options; offer case-study input for the next product iteration."
"Wilmar International",agri_business,Singapore,2026-04-16,"Wilmar publishes first agroecology transition roadmap",adoption,"using the word agroecology rather than the group's prior sustainable agriculture framing",https://example.com/wilmar-agroecology-roadmap,3,adjacent,"Request a technical briefing on the roadmap's smallholder-equity targets and probe willingness to publish cooperative-origin volume data."
"Olam Group",agri_business,Singapore,2026-04-18,"Olam Group expands Thai rice sourcing under regenerative contract terms",adoption,"soil-health measurement and water-use thresholds to procurement criteria",https://example.com/olam-thai-rice-regen-contracts,3,outsider,"Cold outreach via the sustainability lead; focus on whether regenerative contracts can extend explicitly to cooperative-origin procurement tiers."
"Unilever SEA",food_business,regional,2026-04-17,"Unilever SEA raises cooperative-sourced spice share to 28 per cent",adoption,"28 per cent of its regional spice volumes now originate from registered farmer cooperatives",https://example.com/unilever-sea-spice-coop,2,outsider,"Low priority — monitor only; reassess if cooperative share passes 35 per cent within 12 months."
Temasek,investor,Singapore,2026-04-16,"Temasek takes minority stake in regional alternative-protein holding company",capital,"climate-smart protein thesis",https://example.com/temasek-altprotein-stake,2,outsider,"Watch only — signal runs counter to Forum thesis; no active outreach recommended at this stage."
